Sigla;Nombre;Periodo;Periodicidad;Fuente de información;;;;;;;;;;;;;
IACT;Internacional. Inversión en Actividades de Ciencia y Tecnología (ACT) con relación al PIB;1995-2010;Anual;Red de Indicadores de Ciencia y Tecnología (RICyT);;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Inversión en Actividades de Ciencia y Tecnología (ACT) con relación al PIB, 1995-2011;;;;;;;;;;;;;;;;;
País;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Argentina;0,49%;0,50%;0,50%;0,50%;0,52%;0,50%;0,48%;0,44%;0,46%;0,49%;0,53%;0,58%;0,61%;0,61%;0,67%;0,70%;0,73%
Brasil;n.d.;n.d.;n.d.;n.d.;n.d.;1,30%;1,33%;1,30%;1,26%;1,24%;1,27%;1,29%;1,40%;1,45%;1,57%;1,62%;1,64%
Colombia;0,55%;0,56%;0,53%;0,32%;n.d.;0,31%;0,28%;0,31%;0,35%;0,40%;0,42%;0,38%;0,44%;0,47%;0,44%;0,46%;0,47%
Cuba;0,87%;0,78%;0,82%;0,93%;1,01%;0,89%;0,98%;0,88%;0,94%;0,93%;0,84%;0,69%;0,72%;0,83%;1,02%;1,01%;0,45%
México;0,35%;0,35%;0,42%;0,46%;0,41%;0,42%;0,41%;0,39%;0,39%;0,33%;0,34%;0,32%;0,32%;0,36%;0,39%;0,42%;0,41%
Venezuela;0,61%;0,45%;0,43%;0,39%;0,39%;0,38%;0,50%;0,43%;0,31%;0,25%;0,35%;1,78%;2,69%;2,54%;2,36%;n.d.;n.d.
América Latina y el Caribe;0,93%;0,93%;0,78%;0,97%;0,74%;0,73%;0,71%;0,70%;0,68%;0,67%;0,72%;0,81%;0,94%;1,01%;1,11%;1,11%;1,09%
Fuente: Red de Indicadores de Ciencia y Tecnología (RICyT) Iberoamericana e Interamericana.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Fuente: Red de Indicadores de Ciencia y Tecnología (RICyT) Iberoamericana e Interamericana.;;;;;;;Fuente: Red de Indicadores de Ciencia y Tecnología (RICyT) Iberoamericana e Interamericana.;;;;;;;;;;
